Date,Marketing_Channel,Campaign,Ad_Spend,Impressions,Clicks,Website_Visitors,New_Customers,Revenue,Conversion_Status
3/1/2026,Google Ads,Running Shoes,210.5,22500,1125,1012,15,1875,Converted
3/1/2026,Facebook Ads,Summer Sale,145,15000,450,380,3,315,Converted
3/1/2026,TikTok Ads,Premium Collection,380,45000,2250,1800,0,0,Not Converted
3/1/2026,Instagram Ads,New Arrivals,95,9800,392,345,5,575,Converted
3/1/2026,Email,Casual Shoes,25,2100,168,155,8,920,Converted
3/2/2026,Google Ads,Summer Sale,310,32000,1280,1150,14,1680,Converted
3/2/2026,TikTok Ads,New Arrivals,420,48000,2160,1620,1,110,Converted
3/2/2026,Instagram Ads,Premium Collection,210,20000,700,610,6,750,Converted
3/2/2026,Facebook Ads,Running Shoes,180,19000,532,450,2,210,Converted
3/2/2026,Email,Summer Sale,35,3000,250,230,12,1380,Converted
3/3/2026,Google Ads,Premium Collection,280,27000,1215,1080,13,1625,Converted
3/3/2026,TikTok Ads,Summer Sale,490,50000,2750,2100,2,220,Converted
3/3/2026,Facebook Ads,Premium Collection,290,28000,784,680,2,240,Converted
3/3/2026,Instagram Ads,Casual Shoes,110,11500,480,420,7,770,Converted
3/3/2026,Email,New Arrivals,40,3200,270,245,11,1265,Converted
3/4/2026,Google Ads,Casual Shoes,190,19500,975,870,12,1380,Converted
3/4/2026,TikTok Ads,Running Shoes,350,39000,1800,1350,0,0,Not Converted
3/4/2026,Facebook Ads,Casual Shoes,130,14000,392,330,1,105,Converted
3/4/2026,Instagram Ads,Running Shoes,175,18000,684,590,8,960,Converted
3/4/2026,Email,Premium Collection,50,4100,340,310,14,1750,Converted
3/5/2026,Google Ads,New Arrivals,230,24000,1104,980,12,1320,Converted
3/5/2026,TikTok Ads,Casual Shoes,310,34000,1530,1180,1,95,Converted
3/5/2026,Facebook Ads,New Arrivals,160,17000,459,390,2,190,Converted
3/5/2026,Instagram Ads,Summer Sale,205,21000,880,770,9,1035,Converted
3/5/2026,Email,Running Shoes,30,2500,205,185,9,1035,Converted
3/6/2026,Google Ads,Running Shoes,240,25000,1250,1120,16,1920,Converted
3/6/2026,TikTok Ads,Premium Collection,460,49000,2300,1750,1,130,Converted
3/6/2026,Facebook Ads,Summer Sale,210,22000,616,520,3,285,Converted
3/6/2026,Instagram Ads,New Arrivals,120,12500,520,455,6,690,Converted
3/6/2026,Email,Casual Shoes,20,1800,150,138,7,770,Converted
3/7/2026,Google Ads,Summer Sale,330,34000,1360,1210,15,1800,Converted
3/7/2026,TikTok Ads,New Arrivals,390,43000,1935,1480,0,0,Not Converted
3/7/2026,Facebook Ads,Running Shoes,195,20000,540,460,2,220,Converted
3/7/2026,Instagram Ads,Premium Collection,240,23500,810,710,7,910,Converted
3/7/2026,Email,Summer Sale,45,3800,315,290,15,1725,Converted
3/8/2026,Google Ads,Premium Collection,295,29000,1305,1160,14,1750,Converted
3/8/2026,TikTok Ads,Summer Sale,410,44000,2200,1650,1,105,Converted
3/8/2026,Facebook Ads,Premium Collection,310,30000,810,700,3,330,Converted
3/8/2026,Instagram Ads,Casual Shoes,130,13500,550,480,8,880,Converted
3/8/2026,Email,New Arrivals,35,2900,240,220,10,1150,Converted
3/9/2026,Google Ads,Casual Shoes,205,21000,1050,935,13,1495,Converted
3/9/2026,TikTok Ads,Running Shoes,370,41000,1886,1400,1,85,Converted
3/9/2026,Facebook Ads,Casual Shoes,140,15000,405,340,1,110,Converted
3/9/2026,Instagram Ads,Running Shoes,185,19000,720,620,9,1080,Converted
3/9/2026,Email,Premium Collection,45,3700,300,275,13,1625,Converted
3/10/2026,Google Ads,New Arrivals,220,23000,1058,940,11,1210,Converted
3/10/2026,TikTok Ads,Casual Shoes,330,36000,1620,1230,0,0,Not Converted
3/10/2026,Facebook Ads,New Arrivals,175,18000,468,400,2,210,Converted
3/10/2026,Instagram Ads,Summer Sale,215,22000,920,800,10,1150,Converted
3/10/2026,Email,Running Shoes,25,2200,180,165,8,920,Converted
3/11/2026,Google Ads,Running Shoes,225,23500,1175,1040,15,1800,Converted
3/11/2026,Facebook Ads,Summer Sale,155,16000,464,390,2,220,Converted
3/11/2026,TikTok Ads,Premium Collection,400,46000,2250,1700,1,120,Converted
3/11/2026,Instagram Ads,New Arrivals,105,11000,440,385,6,660,Converted
3/11/2026,Email,Casual Shoes,30,2400,195,178,9,1035,Converted
3/12/2026,Google Ads,Summer Sale,325,33500,1340,1190,14,1680,Converted
3/12/2026,TikTok Ads,New Arrivals,440,49000,2205,1660,1,95,Converted
3/12/2026,Instagram Ads,Premium Collection,225,22000,770,670,7,910,Converted
3/12/2026,Facebook Ads,Running Shoes,190,19500,526,445,2,230,Converted
3/12/2026,Email,Summer Sale,40,3400,280,255,13,1495,Converted
3/13/2026,Google Ads,Premium Collection,285,28000,1260,1120,13,1625,Converted
3/13/2026,TikTok Ads,Summer Sale,475,49500,2722,2050,0,0,Not Converted
3/13/2026,Facebook Ads,Premium Collection,300,29000,783,670,3,345,Converted
3/13/2026,Instagram Ads,Casual Shoes,120,12500,512,445,7,770,Converted
3/13/2026,Email,New Arrivals,30,2600,215,195,9,1035,Converted
3/14/2026,Google Ads,Casual Shoes,195,20000,1000,890,11,1265,Converted
3/14/2026,TikTok Ads,Running Shoes,360,40000,1840,1370,1,115,Converted
3/14/2026,Facebook Ads,Casual Shoes,135,14500,391,335,1,115,Converted
3/14/2026,Instagram Ads,Running Shoes,180,18500,703,605,8,960,Converted
3/14/2026,Email,Premium Collection,55,4400,360,330,16,2000,Converted
3/15/2026,Google Ads,New Arrivals,235,24500,1127,1005,13,1430,Converted
3/15/2026,TikTok Ads,Casual Shoes,320,35000,1575,1190,1,80,Converted
3/15/2026,Facebook Ads,New Arrivals,165,17500,455,390,2,200,Converted
3/15/2026,Instagram Ads,Summer Sale,210,21500,903,785,9,1035,Converted
3/15/2026,Email,Running Shoes,28,2300,190,172,8,920,Converted
3/16/2026,Google Ads,Running Shoes,215,22800,1140,1015,14,1680,Converted
3/16/2026,TikTok Ads,Premium Collection,440,48000,2256,1700,0,0,Not Converted
3/16/2026,Facebook Ads,Summer Sale,200,21000,588,500,3,285,Converted
3/16/2026,Instagram Ads,New Arrivals,115,12000,492,430,6,690,Converted
3/16/2026,Email,Casual Shoes,22,1900,158,145,7,770,Converted
3/17/2026,Google Ads,Summer Sale,340,35000,1400,1245,16,1920,Converted
3/17/2026,TikTok Ads,New Arrivals,400,44000,1980,1500,1,110,Converted
3/17/2026,Facebook Ads,Running Shoes,185,19000,513,435,2,210,Converted
3/17/2026,Instagram Ads,Premium Collection,230,22500,787,690,7,910,Converted
3/17/2026,Email,Summer Sale,42,3600,298,272,14,1610,Converted
3/18/2026,Google Ads,Premium Collection,290,28500,1282,1140,13,1625,Converted
3/18/2026,TikTok Ads,Summer Sale,425,45500,2275,1710,1,120,Converted
3/18/2026,Facebook Ads,Premium Collection,320,31000,837,720,3,345,Converted
3/18/2026,Instagram Ads,Casual Shoes,125,13000,533,465,8,880,Converted
3/18/2026,Email,New Arrivals,38,3100,256,235,11,1265,Converted
3/19/2026,Google Ads,Casual Shoes,200,20500,1025,910,12,1380,Converted
3/19/2026,TikTok Ads,Running Shoes,380,42000,1932,1440,0,0,Not Converted
3/19/2026,Facebook Ads,Casual Shoes,145,15500,418,355,1,105,Converted
3/19/2026,Instagram Ads,Running Shoes,190,19500,741,640,9,1080,Converted
3/19/2026,Email,Premium Collection,48,3900,320,292,14,1750,Converted
3/20/2026,Google Ads,New Arrivals,225,23500,1081,960,12,1320,Converted
3/20/2026,TikTok Ads,Casual Shoes,340,37000,1665,1260,1,100,Converted
3/20/2026,Facebook Ads,New Arrivals,170,17500,455,388,2,190,Converted
3/20/2026,Instagram Ads,Summer Sale,220,22500,945,820,10,1150,Converted
3/20/2026,Email,Running Shoes,27,2250,184,168,8,920,Converted
3/21/2026,Google Ads,Running Shoes,235,24200,1210,1080,15,1800,Converted
3/21/2026,Facebook Ads,Summer Sale,165,17000,493,415,2,210,Converted
3/21/2026,TikTok Ads,Premium Collection,415,47000,2303,1740,1,105,Converted
